,Título,Director,Año,Rating
1,El padrino,Francis Ford Coppola,1972,"9,0"
2,El padrino. Parte II,Francis Ford Coppola,1974,"8,9"
3,12 hombres sin piedad,Sidney Lumet,1957,"8,7"
4,La lista de Schindler,Steven Spielberg,1993,"8,6"
5,Testigo de cargo,Billy Wilder,1957,"8,6"
6,Luces de la ciudad,Charles Chaplin,1931,"8,6"
7,Cadena perpetua,Frank Darabont,1994,"8,6"
8,El gran dictador,Charles Chaplin,1940,"8,6"
9,Pulp Fiction,Quentin Tarantino,1994,"8,6"
10,Tiempos modernos,Charles Chaplin,1936,"8,6"
11,El golpe,George Roy Hill,1973,"8,5"
12,Ser o no ser,Ernst Lubitsch,1942,"8,5"
13,Harakiri,Masaki Kobayashi,1962,"8,5"
14,El crepúsculo de los dioses,Billy Wilder,1950,"8,5"
15,La vida es bella,Roberto Benigni,1997,"8,5"
16,Eva al desnudo,Joseph L. Mankiewicz,1950,"8,4"
17,Senderos de gloria,Stanley Kubrick,1957,"8,4"
18,Los siete samuráis,Akira Kurosawa,1954,"8,4"
19,El infierno del odio,Akira Kurosawa,1963,"8,4"
20,Perdición,Billy Wilder,1944,"8,4"
